Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,XPM,FGM,Sfty,Pts,Pts/G
1,JAX,16,20,29,0,0,1,3,0,0,0,53,26,0,449,28.1
2,HOU,16,11,29,1,0,2,5,0,0,0,46,30,1,428,26.8
3,TB,16,10,30,0,0,2,0,0,0,0,40,31,1,389,24.3
4,NYJ,16,9,26,0,0,1,5,0,0,0,40,33,0,387,24.2
5,NYG,16,12,21,3,0,3,3,0,0,0,40,29,1,383,23.9
6,CLE,16,13,29,0,0,1,2,0,0,0,43,27,1,406,25.4
7,MIA,16,14,17,0,0,0,2,0,0,0,33,34,1,335,20.9
8,BAL,16,7,25,0,0,1,4,0,0,0,34,32,0,352,22.0
9,OAK,16,15,33,1,1,0,3,0,0,0,52,25,0,453,28.3
10,WAS,16,23,29,3,1,0,2,0,0,0,59,21,1,478,29.9
11,BUF,16,10,28,1,0,1,2,0,0,0,41,31,0,388,24.3
12,STL,16,18,21,0,0,0,5,0,0,0,42,18,1,364,22.8
13,ATL,16,14,31,0,0,0,4,0,0,0,47,34,0,443,27.7
14,TEN,16,21,15,0,0,3,1,0,0,0,37,32,3,381,23.8
15,CAR,16,4,17,0,0,0,0,0,0,0,19,30,2,241,15.1
16,PIT,16,18,21,0,0,1,1,0,0,0,38,28,0,370,23.1
17,ARI,16,5,29,0,0,0,1,0,0,0,33,25,1,324,20.3
18,IND,16,14,21,1,0,1,1,0,0,0,37,23,1,336,21.0
19,MIN,16,14,37,1,1,1,3,0,0,0,53,27,0,480,30.0
20,DET,16,10,24,0,0,1,3,0,0,0,29,37,0,376,23.5
21,SD,16,14,23,0,0,1,2,0,0,0,39,23,0,348,21.8
22,SF,16,11,19,0,1,0,0,0,0,0,28,20,1,272,17.0
23,NO,16,11,20,0,0,1,1,0,0,0,32,24,0,304,19.0
24,SEA,16,4,16,0,0,1,0,0,0,0,17,26,0,231,14.4
25,GB,16,16,30,0,1,0,3,0,0,0,48,24,1,428,26.8
26,CIN,16,6,22,1,0,1,2,0,0,0,31,26,1,305,19.1
27,KC,16,9,25,0,0,0,0,0,0,0,33,22,1,305,19.1
28,DAL,16,17,33,0,0,1,0,0,0,0,47,25,0,432,27.0
29,PHI,16,12,25,1,2,1,1,0,0,0,35,27,0,382,23.9
30,NE,16,11,25,0,0,2,1,0,0,0,38,22,0,338,21.1
31,CHI,16,22,25,0,1,4,3,0,0,0,54,28,1,478,29.9
32,DEN,16,15,29,0,1,0,2,0,0,0,44,23,1,399,24.9