Rk,Tm,G,Pts,Yds,Ply,Y/P,TO,FumRec,1stPy,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,EXP,Sack
1,SEA,16,231,4378,990,4.4,39,11,43,282,309,524,2752,16,28,4.8,156,422,1626,4,3.9,83,149.91,44
2,CAR,16,241,4820,975,4.9,30,10,30,278,375,563,3429,17,20,5.5,178,352,1391,4,4.0,70,72.19,60
3,SF,16,272,5071,1020,5.0,30,12,26,284,345,585,3536,19,18,5.7,181,397,1535,11,3.9,77,72.63,38
4,NO,16,304,4891,943,5.2,19,7,24,274,304,507,3105,20,12,5.6,168,387,1786,11,4.6,82,4.34,49
5,KC,16,305,5885,1067,5.5,36,15,26,303,334,592,3962,25,21,6.2,189,428,1923,9,4.5,88,35.70,47
6,CIN,16,305,4888,1042,4.7,31,11,32,282,362,614,3344,22,20,5.1,178,385,1544,6,4.0,72,92.85,43
7,ARI,16,324,5079,1042,4.9,30,10,33,309,367,625,3728,29,20,5.5,208,370,1351,5,3.7,68,77.66,47
8,MIA,16,335,5750,1106,5.2,24,6,21,327,344,580,3752,17,18,6.0,192,484,1998,14,4.1,114,-4.50,42
9,IND,16,336,5713,1026,5.6,27,12,27,319,324,536,3711,21,15,6.4,191,448,2002,14,4.5,101,-75.62,42
10,NE,16,338,5969,1118,5.3,29,12,20,338,336,589,3824,25,17,6.0,208,481,2145,11,4.5,110,-17.86,48
11,SD,16,348,5864,959,6.1,17,6,21,327,364,548,4139,23,11,7.1,208,376,1725,14,4.6,98,-113.64,35
12,BAL,16,352,5368,1032,5.2,24,8,29,284,314,552,3681,25,16,6.2,176,440,1687,7,3.8,79,27.96,38
13,STL,16,364,5520,1014,5.4,29,15,47,337,355,521,3874,21,14,6.7,203,440,1646,18,3.7,87,-34.00,53
14,PIT,16,370,5395,1036,5.2,20,10,23,303,329,569,3546,21,10,5.9,174,433,1849,18,4.3,106,12.67,34
15,DET,16,376,5546,982,5.6,22,7,31,290,338,572,3950,24,15,6.5,197,377,1596,10,4.2,62,-12.27,33
16,TEN,16,381,5407,1027,5.3,25,12,30,329,344,545,3612,15,13,6.2,191,446,1795,21,4.0,108,-19.97,36
17,PHI,16,382,6304,1150,5.5,31,12,29,368,408,670,4636,25,19,6.6,239,443,1668,12,3.8,100,-19.45,37
18,NYG,16,383,5316,1089,4.9,29,12,28,327,361,601,3573,21,17,5.6,198,454,1743,12,3.8,101,63.34,34
19,NYJ,16,387,5359,1048,5.1,15,2,27,293,345,586,3947,26,13,6.3,198,421,1412,9,3.4,68,-11.08,41
20,BUF,16,388,5334,1089,4.9,30,7,40,308,310,561,3271,28,23,5.3,170,471,2063,10,4.4,98,67.87,35
21,TB,16,389,5568,1020,5.5,31,10,39,324,352,547,3806,30,21,6.5,190,438,1762,10,4.0,95,-32.43,35
22,DEN,16,399,5696,1074,5.3,26,9,41,339,357,613,4070,29,17,6.2,208,420,1626,15,3.9,90,-37.26,41
23,CLE,16,406,5319,1107,4.8,21,7,28,328,363,605,3538,29,14,5.5,197,462,1781,13,3.9,103,-8.90,40
24,HOU,16,428,5081,970,5.2,11,4,36,282,287,484,3123,29,7,6.1,158,454,1958,11,4.3,88,-40.35,32
25,GB,16,428,5956,1015,5.9,22,11,24,330,332,539,3956,30,11,6.8,190,432,2000,16,4.6,116,-111.62,44
26,DAL,16,432,6645,1094,6.1,28,13,35,388,403,623,4589,33,15,7.0,231,437,2056,17,4.7,122,-113.29,34
27,ATL,16,443,6070,1003,6.1,21,11,28,326,341,516,3897,31,10,7.1,196,455,2173,14,4.8,102,-123.26,32
28,JAX,16,449,6070,1089,5.6,21,10,32,353,354,551,3962,29,11,6.8,200,507,2108,20,4.2,121,-85.38,31
29,OAK,16,453,5819,1029,5.7,22,13,28,330,374,549,4092,33,9,7.0,202,442,1727,15,3.9,100,-94.75,38
30,WAS,16,478,5665,993,5.7,26,10,23,329,337,514,3896,29,16,7.1,204,443,1769,23,4.0,102,-51.25,36
31,CHI,16,478,6313,1021,6.2,28,9,22,353,315,507,3730,25,19,6.9,184,483,2583,22,5.3,147,-111.23,31
32,MIN,16,480,6362,1132,5.6,20,8,20,368,419,648,4595,37,12,6.7,247,443,1767,14,4.0,101,-128.80,41